cylinders,displacement,horsepower,weight,acceleration,model_year,origin_Asia,origin_Europe,origin_USA,weight_per_hp,displacement_per_cylinder
8,383.0,170.0,3563.0,10.0,70,0,0,1,20.958823529411763,47.875
4,97.0,67.0,2145.0,18.0,80,1,0,0,32.014925373134325,24.25
8,400.0,150.0,4997.0,14.0,73,0,0,1,33.31333333333333,50.0
4,97.0,92.0,2288.0,17.0,72,1,0,0,24.869565217391305,24.25
6,225.0,100.0,3630.0,17.7,77,0,0,1,36.3,37.5
4,97.0,67.0,1985.0,16.4,77,1,0,0,29.62686567164179,24.25
4,141.0,71.0,3190.0,24.8,79,0,1,0,44.929577464788736,35.25
6,168.0,120.0,3820.0,16.7,76,0,1,0,31.83333333333333,28.0
4,97.0,75.0,2171.0,16.0,75,1,0,0,28.946666666666665,24.25
8,262.0,110.0,3221.0,13.5,75,0,0,1,29.28181818181818,32.75
8,318.0,150.0,3777.0,12.5,73,0,0,1,25.18,39.75
8,318.0,140.0,4080.0,13.7,78,0,0,1,29.142857142857142,39.75
6,225.0,95.0,3785.0,19.0,75,0,0,1,39.8421052631579,37.5
4,90.0,75.0,2108.0,15.5,74,0,1,0,28.106666666666666,22.5
6,232.0,90.0,3265.0,18.2,79,0,0,1,36.27777777777778,38.66666666666666
8,351.0,158.0,4363.0,13.0,73,0,0,1,27.61392405063291,43.875
8,350.0,160.0,4456.0,13.5,72,0,0,1,27.85,43.75
6,156.0,122.0,2807.0,13.5,73,1,0,0,23.008196721311474,26.0
8,360.0,175.0,3821.0,11.0,73,0,0,1,21.834285714285716,45.0
4,97.0,78.0,2300.0,14.5,74,0,1,0,29.487179487179485,24.25
4,105.0,70.0,2150.0,14.9,79,0,0,1,30.714285714285715,26.25
6,225.0,105.0,3121.0,16.5,73,0,0,1,29.723809523809525,37.5
6,250.0,98.0,3525.0,19.0,77,0,0,1,35.96938775510204,41.66666666666666
8,350.0,155.0,4502.0,13.5,72,0,0,1,29.045161290322586,43.75
4,121.0,113.0,2234.0,12.5,70,0,1,0,19.76991150442478,30.25
6,232.0,100.0,3288.0,15.5,71,0,0,1,32.88,38.66666666666666
4,76.0,52.0,1649.0,16.5,74,1,0,0,31.71153846153846,19.0
4,121.0,110.0,2660.0,14.0,73,0,1,0,24.181818181818183,30.25
8,429.0,208.0,4633.0,11.0,72,0,0,1,22.27403846153846,53.625
8,318.0,140.0,3735.0,13.2,78,0,0,1,26.678571428571427,39.75
4,119.0,100.0,2615.0,14.8,81,1,0,0,26.15,29.75
4,89.0,71.0,1990.0,14.9,78,0,1,0,28.028169014084508,22.25
6,225.0,90.0,3381.0,18.7,80,0,0,1,37.56666666666667,37.5
6,200.0,81.0,3012.0,17.6,76,0,0,1,37.18518518518518,33.333333333333336
6,198.0,95.0,3102.0,16.5,74,0,0,1,32.65263157894737,33.0
4,90.0,75.0,2125.0,14.5,74,0,0,1,28.33333333333333,22.5
4,97.0,78.0,1940.0,14.5,77,0,1,0,24.871794871794872,24.25
8,304.0,150.0,3672.0,11.5,73,0,0,1,24.48,38.0
4,122.0,88.0,2500.0,15.1,80,0,1,0,28.40909090909091,30.5
4,97.0,71.0,1825.0,12.2,76,0,1,0,25.70422535211268,24.25
4,140.0,93.5,2905.0,14.3,80,0,0,1,31.06951871657754,35.0
8,318.0,145.0,4140.0,13.7,77,0,0,1,28.55172413793104,39.75
6,231.0,105.0,3380.0,15.8,78,0,0,1,32.19047619047619,38.5
4,105.0,70.0,2200.0,13.2,79,0,0,1,31.428571428571427,26.25
4,116.0,81.0,2220.0,16.9,76,0,1,0,27.40740740740741,29.0
5,121.0,67.0,2950.0,19.9,80,0,1,0,44.02985074626866,24.2
4,140.0,88.0,2890.0,17.3,79,0,0,1,32.84090909090909,35.0
4,120.0,88.0,3270.0,21.9,76,0,1,0,37.15909090909091,30.0
6,200.0,85.0,2990.0,18.2,79,0,0,1,35.1764705882353,33.333333333333336
4,79.0,67.0,1950.0,19.0,74,1,0,0,29.104477611940297,19.75
8,350.0,165.0,4209.0,12.0,71,0,0,1,25.509090909090908,43.75
8,340.0,160.0,3609.0,8.0,70,0,0,1,22.55625,42.5
4,90.0,48.0,2335.0,23.7,80,0,1,0,48.645833333333336,22.5
4,98.0,79.0,2255.0,17.7,76,0,0,1,28.54430379746836,24.5
4,85.0,70.0,1945.0,16.8,77,1,0,0,27.785714285714285,21.25
4,122.0,85.0,2310.0,18.5,73,0,0,1,27.176470588235293,30.5
4,121.0,98.0,2945.0,14.5,75,0,1,0,30.051020408163264,30.25
4,119.0,97.0,2300.0,14.7,78,1,0,0,23.711340206185568,29.75
6,168.0,132.0,2910.0,11.4,80,1,0,0,22.045454545454547,28.0
4,68.0,49.0,1867.0,19.5,73,0,1,0,38.10204081632653,17.0
6,225.0,85.0,3465.0,16.6,81,0,0,1,40.76470588235294,37.5
4,151.0,93.5,3035.0,20.5,82,0,0,1,32.45989304812834,37.75
4,108.0,70.0,2245.0,16.9,82,1,0,0,32.07142857142857,27.0
8,302.0,129.0,3725.0,13.4,79,0,0,1,28.875968992248065,37.75
6,145.0,76.0,3160.0,19.6,81,0,1,0,41.578947368421055,24.166666666666668
6,231.0,110.0,3039.0,15.0,75,0,0,1,27.62727272727273,38.5
4,91.0,67.0,1995.0,16.2,82,1,0,0,29.776119402985078,22.75
8,302.0,140.0,4141.0,14.0,74,0,0,1,29.57857142857143,37.75
6,250.0,72.0,3432.0,21.0,75,0,0,1,47.66666666666666,41.66666666666666
6,225.0,100.0,3651.0,17.7,76,0,0,1,36.51,37.5
4,90.0,70.0,1937.0,14.2,76,0,1,0,27.67142857142857,22.5
4,144.0,96.0,2665.0,13.9,82,1,0,0,27.760416666666668,36.0
8,318.0,150.0,3436.0,11.0,70,0,0,1,22.906666666666663,39.75
4,85.0,70.0,1990.0,17.0,76,1,0,0,28.428571428571427,21.25
8,350.0,145.0,4082.0,13.0,73,0,0,1,28.151724137931037,43.75
8,351.0,149.0,4335.0,14.5,77,0,0,1,29.093959731543624,43.875
4,112.0,88.0,2395.0,18.0,82,0,0,1,27.21590909090909,28.0
8,307.0,200.0,4376.0,15.0,70,0,0,1,21.88,38.375
4,121.0,112.0,2868.0,15.5,73,0,1,0,25.607142857142858,30.25
4,151.0,90.0,2670.0,16.0,79,0,0,1,29.666666666666668,37.75
8,302.0,130.0,4295.0,14.9,77,0,0,1,33.03846153846154,37.75
4,97.0,67.0,2065.0,17.8,81,1,0,0,30.82089552238806,24.25
4,98.0,68.0,2155.0,16.5,78,0,0,1,31.69117647058824,24.5
4,140.0,88.0,2870.0,18.1,80,0,0,1,32.61363636363637,35.0
4,135.0,84.0,2385.0,12.9,81,0,0,1,28.392857142857142,33.75
6,232.0,100.0,2901.0,16.0,74,0,0,1,29.01,38.66666666666666
8,302.0,140.0,4294.0,16.0,72,0,0,1,30.67142857142857,37.75
4,108.0,75.0,2265.0,15.2,80,1,0,0,30.2,27.0
4,97.0,88.0,2130.0,14.5,71,1,0,0,24.204545454545453,24.25
4,98.0,80.0,2164.0,15.0,72,0,0,1,27.05,24.5
4,91.0,67.0,1850.0,13.8,80,1,0,0,27.611940298507463,22.75
6,232.0,100.0,2789.0,15.0,73,0,0,1,27.89,38.66666666666666
4,85.0,70.0,2070.0,18.6,78,1,0,0,29.571428571428573,21.25
4,140.0,88.0,2720.0,15.4,78,0,0,1,30.90909090909091,35.0
6,250.0,100.0,3781.0,17.0,74,0,0,1,37.81,41.66666666666666
4,90.0,48.0,1985.0,21.5,78,0,1,0,41.35416666666666,22.5
4,140.0,92.0,2572.0,14.9,76,0,0,1,27.956521739130437,35.0
8,350.0,155.0,4360.0,14.9,79,0,0,1,28.12903225806452,43.75
8,400.0,175.0,5140.0,12.0,71,0,0,1,29.37142857142857,50.0
6,200.0,88.0,3060.0,17.1,81,0,0,1,34.77272727272727,33.333333333333336
8,351.0,153.0,4129.0,13.0,72,0,0,1,26.986928104575163,43.875
4,119.0,92.0,2434.0,15.0,80,1,0,0,26.456521739130437,29.75
8,350.0,175.0,4100.0,13.0,73,0,0,1,23.428571428571427,43.75
4,121.0,110.0,2600.0,12.8,77,0,1,0,23.63636363636364,30.25
4,101.0,83.0,2202.0,15.3,76,0,1,0,26.53012048192771,25.25
8,351.0,148.0,4657.0,13.5,75,0,0,1,31.466216216216218,43.875
8,400.0,150.0,3761.0,9.5,70,0,0,1,25.07333333333333,50.0
6,250.0,100.0,3329.0,15.5,71,0,0,1,33.29,41.66666666666666
8,304.0,193.0,4732.0,18.5,70,0,0,1,24.518134715025905,38.0
4,140.0,78.0,2592.0,18.5,75,0,0,1,33.23076923076923,35.0
4,79.0,67.0,1963.0,15.5,74,0,1,0,29.29850746268657,19.75
4,97.0,78.0,2188.0,15.8,80,0,1,0,28.05128205128205,24.25
4,156.0,105.0,2745.0,16.7,78,0,0,1,26.142857142857142,39.0
8,305.0,145.0,3880.0,12.5,77,0,0,1,26.75862068965517,38.125
8,455.0,225.0,4951.0,11.0,73,0,0,1,22.004444444444445,56.875
4,79.0,70.0,2074.0,19.5,71,0,1,0,29.62857142857143,19.75
4,97.0,78.0,2190.0,14.1,77,0,1,0,28.07692307692308,24.25
5,183.0,77.0,3530.0,20.1,79,0,1,0,45.84415584415584,36.6
4,90.0,48.0,2085.0,21.7,80,0,1,0,43.4375,22.5
4,120.0,88.0,2957.0,17.0,75,0,1,0,33.60227272727273,30.0
8,318.0,150.0,4096.0,13.0,71,0,0,1,27.30666666666667,39.75
4,89.0,62.0,1845.0,15.3,80,0,1,0,29.758064516129032,22.25
4,140.0,72.0,2565.0,13.6,76,0,0,1,35.625,35.0
6,200.0,85.0,2965.0,15.8,78,0,0,1,34.88235294117647,33.333333333333336
6,262.0,85.0,3015.0,17.0,82,0,0,1,35.47058823529412,43.66666666666666
8,302.0,140.0,3449.0,10.5,70,0,0,1,24.63571428571429,37.75
6,225.0,100.0,3430.0,17.2,78,0,0,1,34.3,37.5
4,108.0,75.0,2350.0,16.8,81,1,0,0,31.33333333333333,27.0
6,250.0,88.0,3021.0,16.5,73,0,0,1,34.32954545454545,41.66666666666666
6,231.0,105.0,3425.0,16.9,77,0,0,1,32.61904761904762,38.5
4,156.0,92.0,2620.0,14.4,81,0,0,1,28.47826086956522,39.0
8,350.0,145.0,4055.0,12.0,76,0,0,1,27.96551724137931,43.75
4,134.0,96.0,2702.0,13.5,75,1,0,0,28.14583333333333,33.5
6,250.0,100.0,3278.0,18.0,73,0,0,1,32.78,41.66666666666666
8,318.0,150.0,3755.0,14.0,76,0,0,1,25.03333333333333,39.75
4,122.0,86.0,2226.0,16.5,72,0,0,1,25.88372093023256,30.5
6,250.0,100.0,3282.0,15.0,71,0,0,1,32.82,41.66666666666666
4,98.0,93.5,2046.0,19.0,71,0,0,1,21.88235294117647,24.5
4,134.0,95.0,2560.0,14.2,78,1,0,0,26.94736842105263,33.5
6,250.0,78.0,3574.0,21.0,76,0,0,1,45.82051282051282,41.66666666666666
4,100.0,93.5,2320.0,15.8,81,0,1,0,24.81283422459893,25.0
8,318.0,210.0,4382.0,13.5,70,0,0,1,20.866666666666667,39.75
4,98.0,70.0,2120.0,15.5,80,0,0,1,30.285714285714285,24.5
8,350.0,170.0,4165.0,11.4,77,0,0,1,24.5,43.75
6,225.0,110.0,3620.0,18.7,78,0,0,1,32.90909090909091,37.5
8,318.0,135.0,3830.0,15.2,79,0,0,1,28.37037037037037,39.75
6,258.0,110.0,3730.0,19.0,75,0,0,1,33.90909090909091,43.0
4,135.0,84.0,2490.0,15.7,81,0,0,1,29.642857142857142,33.75
8,318.0,150.0,4457.0,13.5,74,0,0,1,29.71333333333333,39.75
8,350.0,165.0,4274.0,12.0,72,0,0,1,25.903030303030302,43.75
6,225.0,105.0,3613.0,16.5,74,0,0,1,34.40952380952381,37.5
6,250.0,100.0,3336.0,17.0,74,0,0,1,33.36,41.66666666666666
8,455.0,225.0,4425.0,10.0,70,0,0,1,19.666666666666668,56.875
8,318.0,150.0,4135.0,13.5,72,0,0,1,27.566666666666663,39.75
8,260.0,90.0,3420.0,22.2,79,0,0,1,38.0,32.5
4,113.0,95.0,2372.0,15.0,70,1,0,0,24.96842105263158,28.25
8,400.0,170.0,4668.0,11.5,75,0,0,1,27.458823529411763,50.0
8,351.0,153.0,4154.0,13.5,71,0,0,1,27.15032679738562,43.875
8,350.0,105.0,3725.0,19.0,81,0,0,1,35.476190476190474,43.75
4,86.0,65.0,2110.0,17.9,80,1,0,0,32.46153846153846,21.5
4,98.0,68.0,2045.0,18.5,77,1,0,0,30.073529411764707,24.5
4,98.0,68.0,2135.0,16.6,78,1,0,0,31.397058823529413,24.5
4,112.0,88.0,2640.0,18.6,82,0,0,1,30.0,28.0
4,140.0,89.0,2755.0,15.8,77,0,0,1,30.95505617977528,35.0
4,130.0,102.0,3150.0,15.7,76,0,1,0,30.88235294117647,32.5
8,350.0,180.0,4380.0,12.1,76,0,0,1,24.33333333333333,43.75
4,98.0,80.0,1915.0,14.4,79,0,0,1,23.9375,24.5
6,146.0,120.0,2930.0,13.8,81,1,0,0,24.416666666666668,24.33333333333333
8,302.0,139.0,3570.0,12.8,78,0,0,1,25.68345323741007,37.75
4,156.0,92.0,2585.0,14.5,82,0,0,1,28.097826086956523,39.0
6,231.0,110.0,3415.0,15.8,81,0,0,1,31.045454545454547,38.5
4,85.0,65.0,2020.0,19.2,79,1,0,0,31.07692307692308,21.25
4,105.0,75.0,2230.0,14.5,78,0,0,1,29.73333333333333,26.25
6,250.0,110.0,3645.0,16.2,76,0,0,1,33.13636363636363,41.66666666666666
6,250.0,105.0,3897.0,18.5,75,0,0,1,37.114285714285714,41.66666666666666
8,400.0,170.0,4746.0,12.0,71,0,0,1,27.91764705882353,50.0
4,111.0,80.0,2155.0,14.8,77,0,0,1,26.9375,27.75
8,351.0,152.0,4215.0,12.8,76,0,0,1,27.730263157894736,43.875
4,98.0,76.0,2144.0,14.7,80,0,1,0,28.210526315789476,24.5
6,200.0,85.0,3070.0,16.7,78,0,0,1,36.11764705882353,33.333333333333336
8,360.0,170.0,4654.0,13.0,73,0,0,1,27.376470588235293,45.0
4,71.0,65.0,1773.0,19.0,71,1,0,0,27.27692307692308,17.75
8,350.0,165.0,3693.0,11.5,70,0,0,1,22.381818181818183,43.75
4,122.0,86.0,2220.0,14.0,71,0,0,1,25.813953488372093,30.5
4,122.0,86.0,2395.0,16.0,72,0,0,1,27.848837209302324,30.5
4,97.0,75.0,2155.0,16.4,76,1,0,0,28.73333333333333,24.25
6,225.0,105.0,3439.0,15.5,71,0,0,1,32.75238095238095,37.5
6,231.0,165.0,3445.0,13.4,78,0,0,1,20.87878787878788,38.5
8,400.0,150.0,4464.0,12.0,73,0,0,1,29.76,50.0
4,151.0,84.0,2635.0,16.4,81,0,0,1,31.36904761904762,37.75
4,88.0,76.0,2065.0,14.5,71,0,1,0,27.17105263157895,22.0
8,302.0,139.0,3205.0,11.2,78,0,0,1,23.05755395683453,37.75
6,146.0,97.0,2815.0,14.5,77,1,0,0,29.02061855670103,24.33333333333333
8,455.0,225.0,3086.0,10.0,70,0,0,1,13.715555555555556,56.875
4,151.0,90.0,3003.0,20.1,80,0,0,1,33.36666666666667,37.75
8,302.0,137.0,4042.0,14.5,73,0,0,1,29.503649635036496,37.75
4,119.0,97.0,2405.0,14.9,78,1,0,0,24.79381443298969,29.75
8,302.0,129.0,3169.0,12.0,75,0,0,1,24.565891472868216,37.75
4,146.0,67.0,3250.0,21.8,80,0,1,0,48.507462686567166,36.5
4,135.0,84.0,2370.0,13.0,82,0,0,1,28.214285714285715,33.75
6,258.0,110.0,3632.0,18.0,74,0,0,1,33.018181818181816,43.0
6,173.0,115.0,2595.0,11.3,79,0,0,1,22.565217391304348,28.83333333333333
4,107.0,75.0,2205.0,14.5,82,1,0,0,29.4,26.75
4,120.0,75.0,2542.0,17.5,80,1,0,0,33.89333333333333,30.0
3,80.0,110.0,2720.0,13.5,77,1,0,0,24.727272727272727,26.666666666666668
4,72.0,69.0,1613.0,18.0,71,1,0,0,23.3768115942029,18.0
4,116.0,90.0,2123.0,14.0,71,0,1,0,23.58888888888889,29.0
6,171.0,97.0,2984.0,14.5,75,0,0,1,30.762886597938145,28.5
8,304.0,120.0,3962.0,13.9,76,0,0,1,33.016666666666666,38.0
4,135.0,84.0,2295.0,11.6,82,0,0,1,27.321428571428573,33.75
8,305.0,140.0,4215.0,13.0,76,0,0,1,30.107142857142858,38.125
6,232.0,100.0,2914.0,16.0,75,0,0,1,29.14,38.66666666666666
4,97.5,80.0,2126.0,17.0,72,0,0,1,26.575,24.375
6,250.0,88.0,3139.0,14.5,71,0,0,1,35.67045454545455,41.66666666666666
4,86.0,64.0,1875.0,16.4,81,0,0,1,29.296875,21.5
4,97.0,75.0,2265.0,18.2,77,1,0,0,30.2,24.25
6,231.0,105.0,3535.0,19.2,78,0,0,1,33.666666666666664,38.5
4,107.0,90.0,2430.0,14.5,70,0,1,0,27.0,26.75
4,151.0,90.0,2678.0,16.5,80,0,0,1,29.75555555555556,37.75
6,231.0,110.0,3907.0,21.0,75,0,0,1,35.518181818181816,38.5
4,121.0,115.0,2795.0,15.7,78,0,1,0,24.30434782608696,30.25
6,225.0,100.0,3233.0,15.4,76,0,0,1,32.33,37.5
4,89.0,71.0,1925.0,14.0,79,0,1,0,27.112676056338028,22.25
4,79.0,58.0,1755.0,16.9,81,1,0,0,30.25862068965517,19.75
6,232.0,90.0,3210.0,17.2,78,0,0,1,35.666666666666664,38.66666666666666
4,151.0,90.0,2556.0,13.2,79,0,0,1,28.4,37.75
4,120.0,97.0,2489.0,15.0,74,1,0,0,25.65979381443299,30.0
4,122.0,80.0,2451.0,16.5,74,0,0,1,30.6375,30.5
4,79.0,67.0,2000.0,16.0,74,0,1,0,29.85074626865672,19.75
4,141.0,80.0,3230.0,20.4,81,0,1,0,40.375,35.25
6,232.0,100.0,2945.0,16.0,73,0,0,1,29.45,38.66666666666666
4,151.0,90.0,2735.0,18.0,82,0,0,1,30.38888888888889,37.75
8,350.0,145.0,3988.0,13.0,73,0,0,1,27.50344827586207,43.75
4,85.0,93.5,1835.0,17.3,80,0,1,0,19.62566844919786,21.25
8,302.0,130.0,3870.0,15.0,76,0,0,1,29.76923076923077,37.75
8,318.0,150.0,3399.0,11.0,73,0,0,1,22.66,39.75
4,119.0,82.0,2720.0,19.4,82,0,0,1,33.170731707317074,29.75
4,110.0,87.0,2672.0,17.5,70,0,1,0,30.71264367816092,27.5
8,318.0,150.0,4190.0,13.0,76,0,0,1,27.933333333333334,39.75
3,70.0,97.0,2330.0,13.5,72,1,0,0,24.02061855670103,23.33333333333333
8,350.0,180.0,4499.0,12.5,73,0,0,1,24.994444444444444,43.75
4,134.0,95.0,2515.0,14.8,78,1,0,0,26.473684210526315,33.5
4,89.0,62.0,2050.0,17.3,81,1,0,0,33.064516129032256,22.25
4,97.0,46.0,1950.0,21.0,73,0,1,0,42.391304347826086,24.25
